Name,Name_full_over,Name_full_pore,pore_TA,over_TA,sed_type,bucket_ID,over_pH
D60_OASH1,D60_OASH1_over,D60_OASH1_pore,2046.42183,2094.592308,shells,OASH1,low
D60_OASH1,D60_OASH1_over.1,D60_OASH1_pore.1,2472.406795,2099.666115,shells,OASH1,low
D60_OASH1,D60_OASH1_over.2,D60_OASH1_pore.2,2556.288281,2097.814584,shells,OASH1,low
D60_OASH2,D60_OASH2_over,D60_OASH2_pore,2390.36661,2095.175386,shells,OASH2,low
D60_OASH2,D60_OASH2_over.1,D60_OASH2_pore.1,2378.602743,2097.456554,shells,OASH2,low
D60_OASH2,D60_OASH2_over.2,D60_OASH2_pore.2,2383.881139,2089.078634,shells,OASH2,low
D60_SH1,D60_SH1_over,D60_SH1_pore,1940.628863,1820.381685,shells,SH1,high
D60_SH1,D60_SH1_over.1,D60_SH1_pore.1,1882.361919,1828.186755,shells,SH1,high
D60_SH1,D60_SH1_over.2,D60_SH1_pore.2,1942.664524,1827.429775,shells,SH1,high
D60_SH2,D60_SH2_over,D60_SH2_pore,1933.0693,1754.4938,shells,SH2,high
D60_SH2,D60_SH2_over.1,D60_SH2_pore.1,1934.266146,1828.442491,shells,SH2,high
D60_SH2,D60_SH2_over.2,D60_SH2_pore.2,1930.338037,1827.276334,shells,SH2,high
D67_C1,D67_C1_over,D67_C1_pore,1827.435208,1799.586228,sand,C1,high
D67_C1,D67_C1_over.1,D67_C1_pore.1,1826.162505,1802.864716,sand,C1,high
D67_C1,D67_C1_over.2,D67_C1_pore.2,1839.467278,1802.429608,sand,C1,high
D67_C2,D67_C2_over,D67_C2_pore,1832.645524,1795.397049,sand,C2,high
D67_C2,D67_C2_over.1,D67_C2_pore.1,1840.048646,1772.761317,sand,C2,high
D67_C2,D67_C2_over.2,D67_C2_pore.2,1839.144465,1820.238677,sand,C2,high
D67_OA1,D67_OA1_over,D67_OA1_pore,2256.682386,2092.89535,sand,OA1,low
D67_OA1,D67_OA1_over.1,D67_OA1_pore.1,2320.047799,2124.100288,sand,OA1,low
D67_OA1,D67_OA1_over.2,D67_OA1_pore.2,2309.409028,2127.81903,sand,OA1,low
D67_OA2,D67_OA2_over,D67_OA2_pore,2252.674761,2106.731963,sand,OA2,low
D67_OA2,D67_OA2_over.1,D67_OA2_pore.1,2274.171077,2100.640452,sand,OA2,low
D67_OA2,D67_OA2_over.2,D67_OA2_pore.2,2292.090909,2102.299933,sand,OA2,low
D67_OASH1,D67_OASH1_over,D67_OASH1_pore,2520.800835,1897.880149,shells,OASH1,low
D67_OASH1,D67_OASH1_over.1,D67_OASH1_pore.1,2534.133299,1814.602512,shells,OASH1,low
D67_OASH1,D67_OASH1_over.2,D67_OASH1_pore.2,2495.16173,1894.480236,shells,OASH1,low
D67_OASH2,D67_OASH2_over,D67_OASH2_pore,2447.661445,1759.374159,shells,OASH2,low
D67_OASH2,D67_OASH2_over.1,D67_OASH2_pore.1,2432.187089,1754.507021,shells,OASH2,low
D67_OASH2,D67_OASH2_over.2,D67_OASH2_pore.2,2136.332857,1736.232487,shells,OASH2,low
D67_SH1,D67_SH1_over,D67_SH1_pore,1839.686991,1816.86912,shells,SH1,high
D67_SH1,D67_SH1_over.1,D67_SH1_pore.1,1883.7442,1808.045536,shells,SH1,high
D67_SH1,D67_SH1_over.2,D67_SH1_pore.2,1860.774548,1769.472711,shells,SH1,high
D67_SH2,D67_SH2_over,D67_SH2_pore,1765.607333,1835.730544,shells,SH2,high
D67_SH2,D67_SH2_over.1,D67_SH2_pore.1,1763.350843,1839.970317,shells,SH2,high
D67_SH2,D67_SH2_over.2,D67_SH2_pore.2,1770.15067,1781.554545,shells,SH2,high
D74_C1,D74_C1_over,D74_C1_pore,1997.649978,1876.839342,sand,C1,high
D74_C1,D74_C1_over.1,D74_C1_pore.1,1944.05272,1934.221104,sand,C1,high
D74_C1,D74_C1_over.2,D74_C1_pore.2,1995.924507,1936.228945,sand,C1,high
D74_C2,D74_C2_over,D74_C2_pore,1903.513393,1944.687021,sand,C2,high
D74_C2,D74_C2_over.1,D74_C2_pore.1,1938.241386,1945.564639,sand,C2,high
D74_C2,D74_C2_over.2,D74_C2_pore.2,1941.998006,1945.619946,sand,C2,high
D74_OA1,D74_OA1_over,D74_OA1_pore,2360.271201,2179.365962,sand,OA1,low
D74_OA1,D74_OA1_over.1,D74_OA1_pore.1,2219.277934,2254.366211,sand,OA1,low
D74_OA1,D74_OA1_over.2,D74_OA1_pore.2,2182.702718,2228.314879,sand,OA1,low
D74_OA2,D74_OA2_over,D74_OA2_pore,2455.025942,2264.209865,sand,OA2,low
D74_OA2,D74_OA2_over.1,D74_OA2_pore.1,2460.337051,2265.244247,sand,OA2,low
D74_OA2,D74_OA2_over.2,D74_OA2_pore.2,2381.961444,2035.449579,sand,OA2,low
D74_OASH1,D74_OASH1_over,D74_OASH1_pore,2542.025348,2238.042376,shells,OASH1,low
D74_OASH1,D74_OASH1_over.1,D74_OASH1_pore.1,2381.907856,2245.639994,shells,OASH1,low
D74_OASH1,D74_OASH1_over.2,D74_OASH1_pore.2,2469.300696,2158.248368,shells,OASH1,low
D74_OASH2,D74_OASH2_over,D74_OASH2_pore,2527.069534,2249.321773,shells,OASH2,low
D74_OASH2,D74_OASH2_over.1,D74_OASH2_pore.1,2490.669518,2253.698714,shells,OASH2,low
D74_OASH2,D74_OASH2_over.2,D74_OASH2_pore.2,2533.572415,2254.844905,shells,OASH2,low
D74_SH1,D74_SH1_over,D74_SH1_pore,1947.921327,1859.151907,shells,SH1,high
D74_SH1,D74_SH1_over.1,D74_SH1_pore.1,1990.450159,1948.021189,shells,SH1,high
D74_SH1,D74_SH1_over.2,D74_SH1_pore.2,1993.445625,1950.106183,shells,SH1,high
D74_SH2,D74_SH2_over,D74_SH2_pore,2082.553782,1948.159994,shells,SH2,high
D74_SH2,D74_SH2_over.1,D74_SH2_pore.1,2106.303444,1995.204907,shells,SH2,high
D74_SH2,D74_SH2_over.2,D74_SH2_pore.2,2107.273525,2009.538275,shells,SH2,high
D81_C1,D81_C1_over,D81_C1_pore,1769.118553,1764.625811,sand,C1,high
D81_C1,D81_C1_over.1,D81_C1_pore.1,1830.32711,1767.853704,sand,C1,high
D81_C1,D81_C1_over.2,D81_C1_pore.2,1834.303795,1749.144063,sand,C1,high
